PLACENS,GEOID,NAMELSAD,CLASSFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID *,SHAPE *
02390987,3647636,Mineola village,C1,A,4794402,0,+40.7470263,-73.6393630,334,Polygon
02390988,3647757,Minoa village,C1,A,3421226,0,+43.0742275,-76.0082907,335,Polygon
02390989,3647823,Mohawk village,C1,A,2272584,68769,+43.0093769,-75.0071392,336,Polygon
02390990,3647988,Monroe village,C1,A,9047725,166940,+41.3176977,-74.1857480,337,Polygon
02390991,3648090,Montebello village,C1,A,11190593,24636,+41.1307948,-74.1100779,338,Polygon
02390992,3648142,Montgomery village,C1,A,3640655,109031,+41.5212657,-74.2386611,339,Polygon
02390993,3648175,Monticello village,C1,A,10570693,62413,+41.6525281,-74.6877605,340,Polygon
02390994,3648197,Montour Falls village,C1,A,7791484,62562,+42.3486680,-76.8486973,341,Polygon
02390995,3648296,Moravia village,C1,A,4411154,55203,+42.7121448,-76.4230527,342,Polygon
02390996,3648483,Morris village,C1,A,1931190,20683,+42.5481183,-75.2452916,343,Polygon
02390997,3648571,Morristown village,C1,A,2543525,101901,+44.5840133,-75.6454597,344,Polygon
02390998,3648593,Morrisville village,C1,A,2652669,0,+42.8986986,-75.6447553,345,Polygon
02390999,3648890,Mount Kisco village,C1,A,7877311,78917,+41.2016956,-73.7282581,346,Polygon
02391000,3648945,Mount Morris village,C1,A,5303317,0,+42.7236954,-77.8752072,347,Polygon
00979245,3649121,Mount Vernon city,C5,A,11377785,44440,+40.9131051,-73.8293172,348,Polygon
02391001,3649220,Munnsville village,C1,A,2267821,0,+42.9765494,-75.5865212,349,Polygon
02391002,3649231,Munsey Park village,C1,A,1336745,0,+40.7989930,-73.6798501,350,Polygon
02391003,3649330,Muttontown village,C1,A,15687540,0,+40.8253939,-73.5363381,351,Polygon
02391004,3649429,Naples village,C1,A,2496784,0,+42.6174539,-77.4021215,352,Polygon
02391005,3649506,Nassau village,C1,A,1809749,0,+42.5139631,-73.6107498,353,Polygon
